"id","title","created_at","pattern"
1,"java","0000-00-00 00:00:00","cicada-stripes"
2,"c#","0000-00-00 00:00:00","horizontal-stripes"
3,"php","0000-00-00 00:00:00","tablecloth"
4,"javascript","0000-00-00 00:00:00","waves"
5,"android","0000-00-00 00:00:00","microbial-mat"
6,"jquery","0000-00-00 00:00:00","microbial-mat"
7,"python","0000-00-00 00:00:00","cross"
8,"html","0000-00-00 00:00:00","steps"
9,"c++","0000-00-00 00:00:00","madras"
10,"ios","0000-00-00 00:00:00","seigaiha"
11,"mysql","0000-00-00 00:00:00","half-rombes"
12,"css","0000-00-00 00:00:00","brady-bunch"
13,"sql","0000-00-00 00:00:00","shippo"
14,"asp.net","0000-00-00 00:00:00","upholstery"
15,"objective-c","0000-00-00 00:00:00","cicada-stripes"
16,".net","0000-00-00 00:00:00","cicada-stripes"
17,"ruby-on-rails","0000-00-00 00:00:00","madras"
18,"iphone","0000-00-00 00:00:00","tablecloth"
19,"c","0000-00-00 00:00:00","zigzag"
20,"arrays","0000-00-00 00:00:00","blueprint"
21,"ruby","0000-00-00 00:00:00","seigaiha"
22,"sql-server","0000-00-00 00:00:00","brady-bunch"
23,"ajax","0000-00-00 00:00:00","half-rombes"
24,"regex","0000-00-00 00:00:00","microbial-mat"
25,"json","0000-00-00 00:00:00","argyle"
26,"xml","0000-00-00 00:00:00","shippo"
27,"asp.net-mvc","0000-00-00 00:00:00","waves"
28,"angularjs","0000-00-00 00:00:00","bricks"
29,"linux","0000-00-00 00:00:00","argyle"
30,"wpf","0000-00-00 00:00:00","cicada-stripes"
31,"r","0000-00-00 00:00:00","seigaiha"
32,"django","0000-00-00 00:00:00","half-rombes"
33,"database","0000-00-00 00:00:00","tartan"
34,"eclipse","0000-00-00 00:00:00","japanese-cube"
35,"vb.net","0000-00-00 00:00:00","bricks"
36,"xcode","0000-00-00 00:00:00","seigaiha"
37,"node.js","0000-00-00 00:00:00","tartan"
38,"windows","0000-00-00 00:00:00","tartan"
39,"string","0000-00-00 00:00:00","arrows"
40,"html5","0000-00-00 00:00:00","horizontal-stripes"
41,"wordpress","0000-00-00 00:00:00","seigaiha"
42,"multithreading","0000-00-00 00:00:00","cicada-stripes"
43,"excel","0000-00-00 00:00:00","half-rombes"
44,"spring","0000-00-00 00:00:00","horizontal-stripes"
45,"facebook","0000-00-00 00:00:00","half-rombes"
46,"image","0000-00-00 00:00:00","vertical-stripes"
47,"forms","0000-00-00 00:00:00","seigaiha"
48,"winforms","0000-00-00 00:00:00","madras"
49,"oracle","0000-00-00 00:00:00","seigaiha"
50,"git","0000-00-00 00:00:00","tartan"
51,"osx","0000-00-00 00:00:00","bricks"
52,"bash","0000-00-00 00:00:00","stars"
53,"algorithm","0000-00-00 00:00:00","brady-bunch"
54,"performance","0000-00-00 00:00:00","seigaiha"
55,"swing","0000-00-00 00:00:00","steps"
56,"apache","0000-00-00 00:00:00","tablecloth"
57,"ruby-on-rails-3","0000-00-00 00:00:00","vertical-stripes"
58,"matlab","0000-00-00 00:00:00","cicada-stripes"
59,"linq","0000-00-00 00:00:00","upholstery"
60,"entity-framework","0000-00-00 00:00:00","polka-dots"
61,"mongodb","0000-00-00 00:00:00","tablecloth"
62,"twitter-bootstrap","0000-00-00 00:00:00","seigaiha"
63,"hibernate","0000-00-00 00:00:00","vertical-stripes"
64,"perl","0000-00-00 00:00:00","stars"
65,"web-services","0000-00-00 00:00:00","microbial-mat"
66,"vba","0000-00-00 00:00:00","argyle"
67,"swift","0000-00-00 00:00:00","horizontal-stripes"
68,"visual-studio-2010","0000-00-00 00:00:00","cicada-stripes"
69,"visual-studio","0000-00-00 00:00:00","arrows"
70,"list","0000-00-00 00:00:00","stars"
71,"css3","0000-00-00 00:00:00","argyle"
72,"sql-server-2008","0000-00-00 00:00:00","arrows"
73,"qt","0000-00-00 00:00:00","blueprint"
74,".htaccess","0000-00-00 00:00:00","tartan"
75,"wcf","0000-00-00 00:00:00","zigzag"
76,"postgresql","0000-00-00 00:00:00","polka-dots"
77,"sqlite","0000-00-00 00:00:00","arrows"
78,"function","0000-00-00 00:00:00","horizontal-stripes"
79,"file","0000-00-00 00:00:00","diagonal-stripes"
80,"scala","0000-00-00 00:00:00","polka-dots"
81,"uitableview","0000-00-00 00:00:00","tartan"
82,"asp.net-mvc-3","0000-00-00 00:00:00","arrows"
83,"shell","0000-00-00 00:00:00","half-rombes"
84,"codeigniter","0000-00-00 00:00:00","diagonal-stripes"
85,"validation","0000-00-00 00:00:00","vertical-stripes"
86,"actionscript-3","0000-00-00 00:00:00","microbial-mat"
87,"class","0000-00-00 00:00:00","bricks"
88,"api","0000-00-00 00:00:00","upholstery"
89,"cordova","0000-00-00 00:00:00","microbial-mat"
90,"google-maps","0000-00-00 00:00:00","tartan"
91,"jsp","0000-00-00 00:00:00","polka-dots"
92,"python-2.7","0000-00-00 00:00:00","blueprint"
93,"rest","0000-00-00 00:00:00","weave"
94,"sockets","0000-00-00 00:00:00","weave"
95,"maven","0000-00-00 00:00:00","bricks"
96,"unit-testing","0000-00-00 00:00:00","polka-dots"
97,"tsql","0000-00-00 00:00:00","shippo"
98,"security","0000-00-00 00:00:00","seigaiha"
99,"google-chrome","0000-00-00 00:00:00","upholstery"
100,"asp.net-mvc-4","0000-00-00 00:00:00","microbial-mat"
101,"cocoa","0000-00-00 00:00:00","japanese-cube"
102,"xaml","0000-00-00 00:00:00","bricks"
103,"ipad","0000-00-00 00:00:00","half-rombes"
104,"jquery-ui","0000-00-00 00:00:00","vertical-stripes"
105,"delphi","0000-00-00 00:00:00","madras"
106,"excel-vba","0000-00-00 00:00:00","upholstery"
107,"cocoa-touch","0000-00-00 00:00:00","arrows"
108,"user-interface","0000-00-00 00:00:00","shippo"
109,"google-app-engine","0000-00-00 00:00:00","cicada-stripes"
110,"symfony2","0000-00-00 00:00:00","zigzag"
111,"email","0000-00-00 00:00:00","japanese-cube"
112,"oop","0000-00-00 00:00:00","cross"
113,"flash","0000-00-00 00:00:00","diagonal-stripes"
114,"android-layout","0000-00-00 00:00:00","half-rombes"
115,"magento","0000-00-00 00:00:00","vertical-stripes"
116,"sorting","0000-00-00 00:00:00","weave"
117,"http","0000-00-00 00:00:00","upholstery"
118,"loops","0000-00-00 00:00:00","upholstery"
119,"internet-explorer","0000-00-00 00:00:00","polka-dots"
120,"date","0000-00-00 00:00:00","zigzag"
121,"parsing","0000-00-00 00:00:00","cicada-stripes"
122,"listview","0000-00-00 00:00:00","steps"
123,"debugging","0000-00-00 00:00:00","polka-dots"
124,"silverlight","0000-00-00 00:00:00","cross"
125,"spring-mvc","0000-00-00 00:00:00","polka-dots"
126,"templates","0000-00-00 00:00:00","vertical-stripes"
127,"variables","0000-00-00 00:00:00","stars"
128,"session","0000-00-00 00:00:00","madras"
129,"jsf","0000-00-00 00:00:00","tartan"
130,"csv","0000-00-00 00:00:00","tablecloth"
131,"powershell","0000-00-00 00:00:00","waves"
132,"unix","0000-00-00 00:00:00","cross"
133,"datetime","0000-00-00 00:00:00","seigaiha"
134,"opencv","0000-00-00 00:00:00","upholstery"
135,"pointers","0000-00-00 00:00:00","zigzag"
136,"facebook-graph-api","0000-00-00 00:00:00","tablecloth"
137,"batch-file","0000-00-00 00:00:00","tablecloth"
138,"winapi","0000-00-00 00:00:00","stars"
139,"url","0000-00-00 00:00:00","brady-bunch"
140,"ms-access","0000-00-00 00:00:00","seigaiha"
141,"object","0000-00-00 00:00:00","diagonal-stripes"
142,"tomcat","0000-00-00 00:00:00","tartan"
143,"firefox","0000-00-00 00:00:00","microbial-mat"
144,"laravel","0000-00-00 00:00:00","cicada-stripes"
145,"cakephp","0000-00-00 00:00:00","madras"
146,"ubuntu","0000-00-00 00:00:00","argyle"
147,"c++11","0000-00-00 00:00:00","stars"
148,"events","0000-00-00 00:00:00","zigzag"
149,"ruby-on-rails-4","0000-00-00 00:00:00","diagonal-stripes"
150,"haskell","0000-00-00 00:00:00","cicada-stripes"
151,"authentication","0000-00-00 00:00:00","shippo"
152,"table","0000-00-00 00:00:00","cross"
153,"opengl","0000-00-00 00:00:00","tartan"
154,"flex","0000-00-00 00:00:00","tartan"
155,"java-ee","0000-00-00 00:00:00","half-rombes"
156,"exception","0000-00-00 00:00:00","half-rombes"
157,"pdf","0000-00-00 00:00:00","seigaiha"
158,"animation","0000-00-00 00:00:00","stars"
159,"python-3.x","0000-00-00 00:00:00","japanese-cube"
160,"servlets","0000-00-00 00:00:00","cross"
161,"grails","0000-00-00 00:00:00","tablecloth"
162,"generics","0000-00-00 00:00:00","seigaiha"
163,"azure","0000-00-00 00:00:00","weave"
164,"mod-rewrite","0000-00-00 00:00:00","stars"
165,"svn","0000-00-00 00:00:00","arrows"
166,"jpa","0000-00-00 00:00:00","upholstery"
167,"redirect","0000-00-00 00:00:00","half-rombes"
168,"xslt","0000-00-00 00:00:00","microbial-mat"
169,"dom","0000-00-00 00:00:00","arrows"
170,"hadoop","0000-00-00 00:00:00","cicada-stripes"
171,"jquery-mobile","0000-00-00 00:00:00","tartan"
172,"caching","0000-00-00 00:00:00","argyle"
173,"search","0000-00-00 00:00:00","bricks"
174,"c#-4.0","0000-00-00 00:00:00","japanese-cube"
175,"selenium","0000-00-00 00:00:00","madras"
176,"inheritance","0000-00-00 00:00:00","weave"
177,"select","0000-00-00 00:00:00","tartan"
178,"if-statement","0000-00-00 00:00:00","diagonal-stripes"
179,"iis","0000-00-00 00:00:00","half-rombes"
180,"math","0000-00-00 00:00:00","half-rombes"
181,"button","0000-00-00 00:00:00","cicada-stripes"
182,"visual-studio-2012","0000-00-00 00:00:00","waves"
183,"visual-c++","0000-00-00 00:00:00","cicada-stripes"
184,"post","0000-00-00 00:00:00","madras"
185,"testing","0000-00-00 00:00:00","polka-dots"
186,"windows-phone-7","0000-00-00 00:00:00","half-rombes"
187,"for-loop","0000-00-00 00:00:00","shippo"
188,"audio","0000-00-00 00:00:00","stars"
189,"design-patterns","0000-00-00 00:00:00","waves"
190,"ssl","0000-00-00 00:00:00","waves"
191,"android-fragments","0000-00-00 00:00:00","half-rombes"
192,"gcc","0000-00-00 00:00:00","cross"
193,"android-intent","0000-00-00 00:00:00","bricks"
194,"stored-procedures","0000-00-00 00:00:00","diagonal-stripes"
195,"core-data","0000-00-00 00:00:00","horizontal-stripes"
196,"join","0000-00-00 00:00:00","half-rombes"
197,"sharepoint","0000-00-00 00:00:00","shippo"
198,"networking","0000-00-00 00:00:00","cross"
199,"curl","0000-00-00 00:00:00","weave"
200,"zend-framework","0000-00-00 00:00:00","steps"
201,"numpy","0000-00-00 00:00:00","microbial-mat"
202,"extjs","0000-00-00 00:00:00","shippo"
203,"android-activity","0000-00-00 00:00:00","zigzag"
204,"iframe","0000-00-00 00:00:00","polka-dots"
205,"image-processing","0000-00-00 00:00:00","cicada-stripes"
206,"gridview","0000-00-00 00:00:00","horizontal-stripes"
207,"memory","0000-00-00 00:00:00","half-rombes"
208,"video","0000-00-00 00:00:00","waves"
209,"gwt","0000-00-00 00:00:00","madras"
210,"backbone.js","0000-00-00 00:00:00","madras"
211,"razor","0000-00-00 00:00:00","vertical-stripes"
212,"activerecord","0000-00-00 00:00:00","upholstery"
213,"windows-phone-8","0000-00-00 00:00:00","tablecloth"
214,"amazon-web-services","0000-00-00 00:00:00","waves"
215,"logging","0000-00-00 00:00:00","tablecloth"
216,"dictionary","0000-00-00 00:00:00","half-rombes"
217,"mobile","0000-00-00 00:00:00","zigzag"
218,"canvas","0000-00-00 00:00:00","steps"
219,"cookies","0000-00-00 00:00:00","argyle"
220,"optimization","0000-00-00 00:00:00","madras"
221,"assembly","0000-00-00 00:00:00","blueprint"
222,"model-view-controller","0000-00-00 00:00:00","bricks"
223,"sql-server-2005","0000-00-00 00:00:00","steps"
224,"asynchronous","0000-00-00 00:00:00","brady-bunch"
225,"layout","0000-00-00 00:00:00","shippo"
226,"encryption","0000-00-00 00:00:00","zigzag"
227,"serialization","0000-00-00 00:00:00","steps"
228,"memory-management","0000-00-00 00:00:00","zigzag"
229,"vim","0000-00-00 00:00:00","tablecloth"
230,"heroku","0000-00-00 00:00:00","microbial-mat"
231,"recursion","0000-00-00 00:00:00","polka-dots"
232,"nhibernate","0000-00-00 00:00:00","bricks"
233,"twitter","0000-00-00 00:00:00","tartan"
234,"xpath","0000-00-00 00:00:00","madras"
235,"soap","0000-00-00 00:00:00","zigzag"
236,"browser","0000-00-00 00:00:00","brady-bunch"
237,"file-upload","0000-00-00 00:00:00","tartan"
238,"express","0000-00-00 00:00:00","shippo"
239,"design","0000-00-00 00:00:00","upholstery"
240,"boost","0000-00-00 00:00:00","steps"
241,"jdbc","0000-00-00 00:00:00","seigaiha"
242,"netbeans","0000-00-00 00:00:00","argyle"
243,"ember.js","0000-00-00 00:00:00","upholstery"
244,"text","0000-00-00 00:00:00","argyle"
245,"google-maps-api-3","0000-00-00 00:00:00","argyle"
246,"drupal","0000-00-00 00:00:00","diagonal-stripes"
247,"file-io","0000-00-00 00:00:00","weave"
248,"dynamic","0000-00-00 00:00:00","stars"
249,"web","0000-00-00 00:00:00","microbial-mat"
250,"matrix","0000-00-00 00:00:00","shippo"
251,"database-design","0000-00-00 00:00:00","cicada-stripes"
252,"dll","0000-00-00 00:00:00","seigaiha"
253,"visual-studio-2008","0000-00-00 00:00:00","microbial-mat"
254,"mvvm","0000-00-00 00:00:00","vertical-stripes"
255,"ios7","0000-00-00 00:00:00","tablecloth"
256,"checkbox","0000-00-00 00:00:00","steps"
257,"web-applications","0000-00-00 00:00:00","argyle"
258,"plugins","0000-00-00 00:00:00","waves"
259,"random","0000-00-00 00:00:00","brady-bunch"
260,"d3.js","0000-00-00 00:00:00","microbial-mat"
261,"svg","0000-00-00 00:00:00","upholstery"
262,"visual-studio-2013","0000-00-00 00:00:00","tablecloth"
263,"methods","0000-00-00 00:00:00","blueprint"
264,"multidimensional-array","0000-00-00 00:00:00","weave"
265,"vector","0000-00-00 00:00:00","argyle"
266,"input","0000-00-00 00:00:00","half-rombes"
267,"arraylist","0000-00-00 00:00:00","bricks"
268,"android-listview","0000-00-00 00:00:00","polka-dots"
269,"nginx","0000-00-00 00:00:00","polka-dots"
270,"reflection","0000-00-00 00:00:00","argyle"
271,"jsf-2","0000-00-00 00:00:00","japanese-cube"
272,"github","0000-00-00 00:00:00","polka-dots"
273,"pandas","0000-00-00 00:00:00","microbial-mat"
274,"knockout.js","0000-00-00 00:00:00","argyle"
275,"indexing","0000-00-00 00:00:00","microbial-mat"
276,"data-structures","0000-00-00 00:00:00","arrows"
277,"meteor","0000-00-00 00:00:00","steps"
278,"data-binding","0000-00-00 00:00:00","waves"
279,"drop-down-menu","0000-00-00 00:00:00","stars"
280,"asp.net-web-api","0000-00-00 00:00:00","upholstery"
281,"yii","0000-00-00 00:00:00","tablecloth"
282,"unicode","0000-00-00 00:00:00","upholstery"
283,"service","0000-00-00 00:00:00","brady-bunch"
284,"reporting-services","0000-00-00 00:00:00","japanese-cube"
285,"primefaces","0000-00-00 00:00:00","upholstery"
286,"pdo","0000-00-00 00:00:00","vertical-stripes"
287,"mysqli","0000-00-00 00:00:00","blueprint"
288,"android-studio","0000-00-00 00:00:00","waves"
289,"emacs","0000-00-00 00:00:00","bricks"
290,"time","0000-00-00 00:00:00","horizontal-stripes"
291,"hash","0000-00-00 00:00:00","half-rombes"
292,"deployment","0000-00-00 00:00:00","arrows"
293,"view","0000-00-00 00:00:00","madras"
294,"data","0000-00-00 00:00:00","tartan"
295,"laravel-4","0000-00-00 00:00:00","arrows"
296,"encoding","0000-00-00 00:00:00","upholstery"
297,"matplotlib","0000-00-00 00:00:00","cross"
298,"linq-to-sql","0000-00-00 00:00:00","arrows"
299,"login","0000-00-00 00:00:00","vertical-stripes"
300,"uiview","0000-00-00 00:00:00","microbial-mat"
301,"collections","0000-00-00 00:00:00","microbial-mat"
302,"graphics","0000-00-00 00:00:00","microbial-mat"
303,"scroll","0000-00-00 00:00:00","tablecloth"
304,"intellij-idea","0000-00-00 00:00:00","stars"
305,"joomla","0000-00-00 00:00:00","cross"
306,"replace","0000-00-00 00:00:00","waves"
307,"command-line","0000-00-00 00:00:00","horizontal-stripes"
308,"groovy","0000-00-00 00:00:00","madras"
309,"printing","0000-00-00 00:00:00","brady-bunch"
310,"ios5","0000-00-00 00:00:00","horizontal-stripes"
311,"awk","0000-00-00 00:00:00","brady-bunch"
312,"paypal","0000-00-00 00:00:00","bricks"
313,"ant","0000-00-00 00:00:00","argyle"
314,"graph","0000-00-00 00:00:00","cicada-stripes"
315,"parse.com","0000-00-00 00:00:00","shippo"
316,"utf-8","0000-00-00 00:00:00","cross"
317,"jquery-plugins","0000-00-00 00:00:00","diagonal-stripes"
318,"struct","0000-00-00 00:00:00","cross"
319,"ssh","0000-00-00 00:00:00","shippo"
320,"django-models","0000-00-00 00:00:00","japanese-cube"
321,"solr","0000-00-00 00:00:00","zigzag"
322,"javascript-events","0000-00-00 00:00:00","brady-bunch"
323,"datagridview","0000-00-00 00:00:00","weave"
324,"jenkins","0000-00-00 00:00:00","brady-bunch"
325,"tcp","0000-00-00 00:00:00","arrows"
326,"syntax","0000-00-00 00:00:00","steps"
327,"unity3d","0000-00-00 00:00:00","steps"
328,"sed","0000-00-00 00:00:00","madras"
329,"memory-leaks","0000-00-00 00:00:00","seigaiha"
330,"plot","0000-00-00 00:00:00","cicada-stripes"
331,"types","0000-00-00 00:00:00","madras"
332,"hyperlink","0000-00-00 00:00:00","half-rombes"
333,"rspec","0000-00-00 00:00:00","bricks"
334,"google-chrome-extension","0000-00-00 00:00:00","tartan"
335,"vbscript","0000-00-00 00:00:00","seigaiha"
336,"selenium-webdriver","0000-00-00 00:00:00","diagonal-stripes"
337,"binding","0000-00-00 00:00:00","steps"
338,"elasticsearch","0000-00-00 00:00:00","half-rombes"
339,"ios4","0000-00-00 00:00:00","cicada-stripes"
